Country,Flow,Unit,Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,Exports,Millions of USD,0--All Merchandise,$217 ,$678 ,$262 ,$426 ,$514 ,$490 ,$291 ,$574 ,"$1,057 ",$973 ,$574 
"Tanzania, United Republic of",Exports,Millions of USD,0--All Merchandise,$302 ,$173 ,$158 ,$145 ,$332 ,$333 ,$243 ,$282 ,$260 ,$445 ,$573 
Libya,Exports,Millions of USD,0--All Merchandise,$532 ,$231 ,$190 ,$135 ,$244 ,$412 ,$290 ,$295 ,$291 ,$446 ,$567 
Slovakia,Exports,Millions of USD,0--All Merchandise,$445 ,$380 ,$293 ,$442 ,$289 ,$389 ,$333 ,$337 ,$375 ,$427 ,$553 
Latvia,Exports,Millions of USD,0--All Merchandise,$428 ,$267 ,$273 ,$382 ,$510 ,$552 ,$306 ,$413 ,$418 ,"$1,012 ",$546 
Lebanon,Exports,Millions of USD,0--All Merchandise,"$1,268 ","$1,286 ","$1,170 ","$1,221 ","$1,328 ","$1,004 ",$678 ,$665 ,$766 ,$536 ,$541 
Bermuda,Exports,Millions of USD,0--All Merchandise,$647 ,$601 ,$628 ,$694 ,$612 ,$578 ,$459 ,$552 ,$648 ,$568 ,$540 
Russia,Exports,Millions of USD,0--All Merchandise,"$10,752 ","$7,087 ","$5,831 ","$7,003 ","$6,658 ","$5,787 ","$4,889 ","$6,388 ","$1,656 ",$600 ,$526 
Tunisia,Exports,Millions of USD,0--All Merchandise,$831 ,$602 ,$527 ,$544 ,$597 ,$461 ,$429 ,$466 ,$552 ,$553 ,$504 
Bulgaria,Exports,Millions of USD,0--All Merchandise,$359 ,$289 ,$269 ,$381 ,$370 ,$462 ,$375 ,$339 ,$531 ,$511 ,$489 
Guadeloupe,Exports,Millions of USD,0--All Merchandise,$427 ,$101 ,$145 ,$244 ,$320 ,$206 ,$244 ,$272 ,$473 ,$485 ,$471 
Bolivia,Exports,Millions of USD,0--All Merchandise,"$1,009 ",$932 ,$657 ,$595 ,$560 ,$552 ,$448 ,$553 ,$494 ,$504 ,$401 
Mongolia,Exports,Millions of USD,0--All Merchandise,$167 ,$69 ,$55 ,$82 ,$121 ,$193 ,$118 ,$148 ,$149 ,$168 ,$397 
Suriname,Exports,Millions of USD,0--All Merchandise,$519 ,$444 ,$304 ,$360 ,$388 ,$382 ,$267 ,$301 ,$532 ,$483 ,$384 
Uzbekistan,Exports,Millions of USD,0--All Merchandise,$213 ,$138 ,$318 ,$136 ,$297 ,$506 ,$181 ,$401 ,$271 ,$343 ,$381 
Estonia,Exports,Millions of USD,0--All Merchandise,$309 ,$289 ,$257 ,$274 ,$346 ,$411 ,$345 ,$450 ,$405 ,$369 ,$374 
Sri Lanka,Exports,Millions of USD,0--All Merchandise,$351 ,$362 ,$368 ,$336 ,$371 ,$390 ,$359 ,$390 ,$337 ,$351 ,$368 
Malta,Exports,Millions of USD,0--All Merchandise,$918 ,$491 ,$292 ,$293 ,$201 ,$143 ,$138 ,$130 ,$268 ,$424 ,$361 
Senegal,Exports,Millions of USD,0--All Merchandise,$171 ,$199 ,$184 ,$208 ,$289 ,$197 ,$281 ,$382 ,$359 ,$348 ,$351 
Slovenia,Exports,Millions of USD,0--All Merchandise,$301 ,$346 ,$331 ,$372 ,$322 ,$344 ,$298 ,$242 ,$396 ,$363 ,$332 
Cambodia,Exports,Millions of USD,0--All Merchandise,$328 ,$391 ,$361 ,$400 ,$446 ,$514 ,$344 ,$415 ,$446 ,$307 ,$322 
British Virgin Islands,Exports,Millions of USD,0--All Merchandise,$388 ,$260 ,$333 ,$400 ,$823 ,$581 ,$284 ,$273 ,$485 ,$441 ,$313 
Togo,Exports,Millions of USD,0--All Merchandise,"$1,025 ",$312 ,$229 ,$456 ,$646 ,$437 ,$310 ,$235 ,$388 ,$393 ,$284 
"Macau, SAR of China",Exports,Millions of USD,0--All Merchandise,$433 ,$542 ,$632 ,$501 ,$602 ,$572 ,$183 ,$220 ,$250 ,$526 ,$275 
Azerbaijan,Exports,Millions of USD,0--All Merchandise,$950 ,$478 ,$434 ,$355 ,$314 ,$374 ,$162 ,$132 ,$186 ,$542 ,$255 
Democratic Republic of Congo,Exports,Millions of USD,0--All Merchandise,$182 ,$136 ,$83 ,$76 ,$78 ,$132 ,$152 ,$212 ,$148 ,$187 ,$253 
Congo,Exports,Millions of USD,0--All Merchandise,$322 ,$249 ,$131 ,$117 ,$100 ,$109 ,$99 ,$114 ,$180 ,$201 ,$237 
Liberia,Exports,Millions of USD,0--All Merchandise,$185 ,$136 ,$158 ,$138 ,$197 ,$114 ,$93 ,$140 ,$261 ,$251 ,$220 
Benin,Exports,Millions of USD,0--All Merchandise,$781 ,$631 ,$235 ,$250 ,$254 ,$266 ,$197 ,$292 ,$286 ,$241 ,$216 
Serbia,Exports,Millions of USD,0--All Merchandise,$135 ,$126 ,$145 ,$125 ,$166 ,$151 ,$142 ,$181 ,$247 ,$239 ,$210 
Martinique,Exports,Millions of USD,0--All Merchandise,$331 ,$133 ,$145 ,$167 ,$248 ,$132 ,$118 ,$160 ,$287 ,$385 ,$199 
Cameroon,Exports,Millions of USD,0--All Merchandise,$301 ,$225 ,$190 ,$159 ,$193 ,$200 ,$187 ,$149 ,$192 ,$219 ,$193 
Cyprus,Exports,Millions of USD,0--All Merchandise,$152 ,$102 ,$183 ,$82 ,$132 ,$204 ,$103 ,$250 ,$120 ,$188 ,$183 
Gabon,Exports,Millions of USD,0--All Merchandise,$417 ,$204 ,$85 ,$89 ,$113 ,$129 ,$92 ,$129 ,$133 ,$180 ,$171 
Grenada,Exports,Millions of USD,0--All Merchandise,$84 ,$90 ,$87 ,$103 ,$119 ,$119 ,$99 ,$125 ,$168 ,$202 ,$165 
Monaco,Exports,Millions of USD,0--All Merchandise,$128 ,$71 ,$69 ,$42 ,$229 ,$54 ,$50 ,$64 ,$42 ,$72 ,$163 
Armenia,Exports,Millions of USD,0--All Merchandise,$60 ,$50 ,$44 ,$55 ,$46 ,$53 ,$28 ,$45 ,$195 ,$189 ,$161 
Namibia,Exports,Millions of USD,0--All Merchandise,$343 ,$128 ,$213 ,$115 ,$205 ,$191 ,$60 ,$93 ,$226 ,$177 ,$161 
Saint Kitts and Nevis,Exports,Millions of USD,0--All Merchandise,$180 ,$150 ,$145 ,$244 ,$209 ,$197 ,$136 ,$144 ,$174 ,$178 ,$160 
Mozambique,Exports,Millions of USD,0--All Merchandise,$375 ,$264 ,$149 ,$177 ,$183 ,$196 ,$127 ,$190 ,$235 ,$190 ,$150 
French Polynesia,Exports,Millions of USD,0--All Merchandise,$130 ,$120 ,$100 ,$120 ,$288 ,$651 ,$126 ,$129 ,$148 ,$164 ,$145 
Djibouti,Exports,Millions of USD,0--All Merchandise,$111 ,$145 ,$133 ,$157 ,$111 ,$150 ,$185 ,$187 ,$172 ,$177 ,$145 
Saint Vincent and the Grenadines,Exports,Millions of USD,0--All Merchandise,$104 ,$85 ,$94 ,$81 ,$82 ,$103 ,$78 ,$102 ,$150 ,$175 ,$143 
Albania,Exports,Millions of USD,0--All Merchandise,$51 ,$31 ,$50 ,$62 ,$59 ,$86 ,$57 ,$98 ,$117 ,$139 ,$142 
Mauritania,Exports,Millions of USD,0--All Merchandise,$149 ,$126 ,$116 ,$128 ,$88 ,$91 ,$128 ,$132 ,$154 ,$167 ,$140 
Guinea,Exports,Millions of USD,0--All Merchandise,$65 ,$135 ,$84 ,$103 ,$127 ,$128 ,$136 ,$152 ,$120 ,$183 ,$138 
Yemen,Exports,Millions of USD,0--All Merchandise,$369 ,$158 ,$171 ,$199 ,$191 ,$270 ,$329 ,$271 ,$378 ,$192 ,$134 
Kyrgyzstan,Exports,Millions of USD,0--All Merchandise,$72 ,$32 ,$20 ,$26 ,$17 ,$21 ,$32 ,$34 ,$61 ,$141 ,$133 
Marshall Islands,Exports,Millions of USD,0--All Merchandise,$95 ,$54 ,$283 ,$557 ,$290 ,$105 ,$120 ,$233 ,$207 ,$73 ,$127 
Brunei,Exports,Millions of USD,0--All Merchandise,$549 ,$133 ,$614 ,$121 ,$266 ,$288 ,$146 ,$101 ,$114 ,$142 ,$127 
Nepal,Exports,Millions of USD,0--All Merchandise,$36 ,$36 ,$40 ,$76 ,$56 ,$123 ,$94 ,$197 ,$259 ,$63 ,$121 
Sierra Leone,Exports,Millions of USD,0--All Merchandise,$88 ,$77 ,$63 ,$79 ,$71 ,$78 ,$74 ,$115 ,$106 ,$104 ,$120 
Zambia,Exports,Millions of USD,0--All Merchandise,$114 ,$84 ,$82 ,$85 ,$195 ,$99 ,$72 ,$94 ,$135 ,$94 ,$114 
Uganda,Exports,Millions of USD,0--All Merchandise,$78 ,$88 ,$69 ,$108 ,$88 ,$104 ,$95 ,$167 ,$166 ,$121 ,$106 
Botswana,Exports,Millions of USD,0--All Merchandise,$53 ,$39 ,$42 ,$93 ,$82 ,$104 ,$49 ,$53 ,$45 ,$68 ,$104 
Equatorial Guinea,Exports,Millions of USD,0--All Merchandise,$575 ,$162 ,$278 ,$112 ,$139 ,$214 ,$94 ,$51 ,$71 ,$99 ,$95 
Fiji,Exports,Millions of USD,0--All Merchandise,$80 ,$57 ,$55 ,$67 ,$105 ,$103 ,$40 ,$180 ,$63 ,$101 ,$95 
Maldives,Exports,Millions of USD,0--All Merchandise,$29 ,$35 ,$31 ,$34 ,$38 ,$39 ,$25 ,$41 ,$99 ,$69 ,$93 
Iran,Exports,Millions of USD,0--All Merchandise,$187 ,$282 ,$172 ,$136 ,$426 ,$77 ,$36 ,$39 ,$45 ,$59 ,$91 
Turkmenistan,Exports,Millions of USD,0--All Merchandise,$456 ,$81 ,$106 ,$282 ,$31 ,$29 ,$33 ,$79 ,$49 ,$56 ,$82 
Gambia,Exports,Millions of USD,0--All Merchandise,$42 ,$37 ,$40 ,$39 ,$41 ,$45 ,$41 ,$54 ,$68 ,$71 ,$81 
San Marino,Exports,Millions of USD,0--All Merchandise,$6 ,$5 ,$5 ,$2 ,$2 ,$32 ,$2 ,$62 ,$1 ,$2 ,$80 
Burma (Myanmar),Exports,Millions of USD,0--All Merchandise,$93 ,$227 ,$196 ,$211 ,$261 ,$347 ,$339 ,$213 ,$130 ,$172 ,$77 
Anguilla,Exports,Millions of USD,0--All Merchandise,$58 ,$48 ,$43 ,$59 ,$116 ,$74 ,$47 ,$80 ,$87 ,$70 ,$72 
Papua New Guinea,Exports,Millions of USD,0--All Merchandise,$143 ,$208 ,$131 ,$106 ,$87 ,$95 ,$63 ,$44 ,$116 ,$129 ,$67 
Liechtenstein,Exports,Millions of USD,0--All Merchandise,$31 ,$35 ,$25 ,$28 ,$49 ,$18 ,$40 ,$45 ,$81 ,$86 ,$66 
Macedonia,Exports,Millions of USD,0--All Merchandise,$34 ,$31 ,$46 ,$41 ,$41 ,$39 ,$44 ,$45 ,$49 ,$58 ,$61 
Chad,Exports,Millions of USD,0--All Merchandise,$66 ,$57 ,$33 ,$31 ,$51 ,$85 ,$46 ,$43 ,$88 ,$32 ,$60 
South Sudan,Exports,Millions of USD,0--All Merchandise,$46 ,$20 ,$10 ,$14 ,$23 ,$22 ,$45 ,$58 ,$42 ,$51 ,$59 
Dominica,Exports,Millions of USD,0--All Merchandise,$64 ,$67 ,$51 ,$167 ,$162 ,$243 ,$101 ,$371 ,$147 ,$74 ,$59 
Tajikistan,Exports,Millions of USD,0--All Merchandise,$25 ,$19 ,$21 ,$18 ,$14 ,$11 ,$8 ,$15 ,$124 ,$118 ,$57 
Sudan,Exports,Millions of USD,0--All Merchandise,$77 ,$60 ,$56 ,$69 ,$95 ,$74 ,$71 ,$153 ,$143 ,$55 ,$57 
Samoa,Exports,Millions of USD,0--All Merchandise,$23 ,$23 ,$28 ,$38 ,$39 ,$53 ,$26 ,$33 ,$36 ,$33 ,$54 
Burkina Faso,Exports,Millions of USD,0--All Merchandise,$74 ,$54 ,$36 ,$61 ,$59 ,$66 ,$72 ,$97 ,$66 ,$46 ,$54 
"Moldova, Republic of",Exports,Millions of USD,0--All Merchandise,$35 ,$16 ,$15 ,$18 ,$13 ,$20 ,$50 ,$38 ,$39 ,$72 ,$54 
Madagascar,Exports,Millions of USD,0--All Merchandise,$47 ,$55 ,$42 ,$53 ,$117 ,$67 ,$36 ,$56 ,$85 ,$62 ,$53 
Bosnia and Herzegovina,Exports,Millions of USD,0--All Merchandise,$46 ,$28 ,$29 ,$27 ,$46 ,$60 ,$22 ,$52 ,$56 ,$25 ,$53 
Mali,Exports,Millions of USD,0--All Merchandise,$38 ,$72 ,$73 ,$62 ,$79 ,$68 ,$97 ,$99 ,$89 ,$101 ,$51 
Micronesia (Federated States of),Exports,Millions of USD,0--All Merchandise,$42 ,$40 ,$43 ,$45 ,$47 ,$45 ,$58 ,$49 ,$63 ,$52 ,$50 
Kosovo,Exports,Millions of USD,0--All Merchandise,$16 ,$20 ,$18 ,$10 ,$19 ,$16 ,$33 ,$31 ,$25 ,$50 ,$49 
Somalia,Exports,Millions of USD,0--All Merchandise,$36 ,$45 ,$39 ,$71 ,$49 ,$105 ,$57 ,$52 ,$85 ,$50 ,$49 
Greenland,Exports,Millions of USD,0--All Merchandise,$13 ,$8 ,$4 ,$10 ,$10 ,$19 ,$7 ,$13 ,$7 ,$7 ,$48 
Mauritius,Exports,Millions of USD,0--All Merchandise,$36 ,$58 ,$87 ,$61 ,$123 ,$103 ,$50 ,$78 ,$102 ,$112 ,$48 
Eswatini,Exports,Millions of USD,0--All Merchandise,$26 ,$29 ,$26 ,$24 ,$33 ,$20 ,$21 ,$36 ,$73 ,$38 ,$46 
Rwanda,Exports,Millions of USD,0--All Merchandise,$21 ,$14 ,$75 ,$66 ,$25 ,$19 ,$27 ,$50 ,$65 ,$38 ,$45 
Zimbabwe,Exports,Millions of USD,0--All Merchandise,$49 ,$38 ,$30 ,$40 ,$34 ,$40 ,$46 ,$45 ,$39 ,$40 ,$44 
Niger,Exports,Millions of USD,0--All Merchandise,$59 ,$72 ,$66 ,$44 ,$62 ,$92 ,$145 ,$137 ,$96 ,$78 ,$43 
Laos,Exports,Millions of USD,0--All Merchandise,$29 ,$25 ,$31 ,$26 ,$16 ,$17 ,$25 ,$33 ,$41 ,$46 ,$40 
Eritrea,Exports,Millions of USD,0--All Merchandise,$5 ,$3 ,$3 ,$5 ,$8 ,$14 ,$19 ,$27 ,$33 ,$33 ,$37 
Central African Republic,Exports,Millions of USD,0--All Merchandise,$32 ,$34 ,$9 ,$11 ,$10 ,$17 ,$16 ,$17 ,$23 ,$17 ,$35 
New Caledonia,Exports,Millions of USD,0--All Merchandise,$121 ,$89 ,$66 ,$59 ,$64 ,$74 ,$61 ,$72 ,$77 ,$63 ,$29 
French Guiana,Exports,Millions of USD,0--All Merchandise,$281 ,"$1,074 ",$678 ,$163 ,$230 ,$332 ,$483 ,$191 ,$288 ,$14 ,$29 
Montenegro,Exports,Millions of USD,0--All Merchandise,$18 ,$11 ,$17 ,$9 ,$64 ,$18 ,$37 ,$12 ,$40 ,$46 ,$28 
Malawi,Exports,Millions of USD,0--All Merchandise,$51 ,$37 ,$47 ,$28 ,$17 ,$23 ,$13 ,$23 ,$36 ,$18 ,$27 
Palau,Exports,Millions of USD,0--All Merchandise,$21 ,$26 ,$26 ,$19 ,$21 ,$20 ,$21 ,$27 ,$24 ,$20 ,$21 
Tonga,Exports,Millions of USD,0--All Merchandise,$20 ,$14 ,$15 ,$17 ,$24 ,$20 ,$15 ,$19 ,$16 ,$17 ,$20 
East Timor,Exports,Millions of USD,0--All Merchandise,$1 ,$3 ,$2 ,$3 ,$2 ,$5 ,$9 ,$11 ,$21 ,$21 ,$19 
Seychelles,Exports,Millions of USD,0--All Merchandise,$12 ,$19 ,$12 ,$15 ,$14 ,$18 ,$17 ,$11 ,$18 ,$31 ,$17 
Solomon Islands,Exports,Millions of USD,0--All Merchandise,$7 ,$6 ,$10 ,$9 ,$12 ,$20 ,$5 ,$15 ,$10 ,$10 ,$13 
Cape Verde,Exports,Millions of USD,0--All Merchandise,$7 ,$7 ,$9 ,$9 ,$9 ,$8 ,$7 ,$13 ,$16 ,$62 ,$12 
Montserrat,Exports,Millions of USD,0--All Merchandise,$9 ,$7 ,$9 ,$10 ,$18 ,$16 ,$12 ,$10 ,$10 ,$16 ,$12 
Reunion,Exports,Millions of USD,0--All Merchandise,$11 ,$7 ,$450 ,$8 ,$9 ,$9 ,$8 ,$10 ,$10 ,$13 ,$12 
Afghanistan,Exports,Millions of USD,0--All Merchandise,$813 ,$479 ,$914 ,$942 ,"$1,227 ",$758 ,$673 ,$236 ,$22 ,$50 ,$11 
Belarus,Exports,Millions of USD,0--All Merchandise,$93 ,$59 ,$195 ,$73 ,$132 ,$125 ,$122 ,$218 ,$40 ,$17 ,$11 
Saint Helena,Exports,Millions of USD,0--All Merchandise,$0 ,$4 ,$1 ,$1 ,$1 ,$1 ,$5 ,$13 ,$10 ,$0 ,$9 
Vanuatu,Exports,Millions of USD,0--All Merchandise,$21 ,$6 ,$8 ,$8 ,$10 ,$5 ,$7 ,$4 ,$14 ,$13 ,$8 
Cook Islands,Exports,Millions of USD,0--All Merchandise,$5 ,$4 ,$5 ,$5 ,$7 ,$11 ,$3 ,$4 ,$6 ,$5 ,$7 
Burundi,Exports,Millions of USD,0--All Merchandise,$6 ,$6 ,$8 ,$8 ,$15 ,$2 ,$5 ,$4 ,$5 ,$4 ,$7 
British Indian Ocean Territory,Exports,Millions of USD,0--All Merchandise,$2 ,$1 ,$5 ,$36 ,$9 ,$23 ,$7 ,$6 ,$5 ,$3 ,$5 
Andorra,Exports,Millions of USD,0--All Merchandise,$4 ,$3 ,$3 ,$3 ,$3 ,$3 ,$4 ,$5 ,$4 ,$6 ,$5 
Comoros,Exports,Millions of USD,0--All Merchandise,$3 ,$2 ,$1 ,$1 ,$3 ,$2 ,$1 ,$2 ,$2 ,$1 ,$5 
Kiribati,Exports,Millions of USD,0--All Merchandise,$3 ,$7 ,$1 ,$5 ,$4 ,$2 ,$2 ,$2 ,$5 ,$8 ,$4 
Falkland Islands (Malvinas),Exports,Millions of USD,0--All Merchandise,$8 ,$3 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$4 
West Bank,Exports,Millions of USD,0--All Merchandise,$2 ,$1 ,$1 ,$2 ,$2 ,$3 ,$2 ,$2 ,$12 ,$2 ,$4 
Bhutan,Exports,Millions of USD,0--All Merchandise,$2 ,$3 ,$2 ,$35 ,$56 ,$3 ,$3 ,$6 ,$4 ,$5 ,$3 
Guinea Bissau,Exports,Millions of USD,0--All Merchandise,$3 ,$2 ,$4 ,$4 ,$19 ,$1 ,$4 ,$3 ,$2 ,$3 ,$3 
Lesotho,Exports,Millions of USD,0--All Merchandise,$2 ,$1 ,$3 ,$2 ,$2 ,$1 ,$2 ,$3 ,$11 ,$3 ,$3 
Cocos (Keeling) Islands,Exports,Millions of USD,0--All Merchandise,$6 ,$1 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$3 
French Southern Territories,Exports,Millions of USD,0--All Merchandise,$8 ,$8 ,$5 ,$3 ,$1 ,$7 ,$1 ,$3 ,$2 ,$2 ,$2 
Christmas Island,Exports,Millions of USD,0--All Merchandise,$0 ,$2 ,$1 ,$0 ,$1 ,$2 ,$2 ,$1 ,$1 ,$49 ,$2 
Syrian Arab Republic,Exports,Millions of USD,0--All Merchandise,$7 ,$3 ,$3 ,$7 ,$51 ,$9 ,$26 ,$11 ,$9 ,$14 ,$2 
Mayotte,Exports,Millions of USD,0--All Merchandise,$12 ,$6 ,$3 ,$0 ,$1 ,$2 ,$1 ,$7 ,$2 ,$2 ,$2 
North Korea,Exports,Millions of USD,0--All Merchandise,$24 ,$5 ,$0 ,,,,,,,$0 ,$2 
Faroe Islands,Exports,Millions of USD,0--All Merchandise,$2 ,$2 ,$3 ,$2 ,$2 ,$3 ,$3 ,$3 ,$2 ,$3 ,$1 
Pitcairn Islands,Exports,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$4 ,$1 
Sao Tome and Principe,Exports,Millions of USD,0--All Merchandise,$1 ,$1 ,$2 ,$3 ,$2 ,$3 ,$1 ,$3 ,$8 ,$1 ,$1 
Vatican City,Exports,Millions of USD,0--All Merchandise,$3 ,$2 ,$1 ,$1 ,$0 ,$1 ,$0 ,$0 ,$0 ,$1 ,$1 
Nauru,Exports,Millions of USD,0--All Merchandise,$1 ,$2 ,$0 ,$0 ,$1 ,$1 ,$1 ,$1 ,$1 ,$1 ,$1 
Niue,Exports,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 
Tuvalu,Exports,Millions of USD,0--All Merchandise,$1 ,$1 ,$1 ,$1 ,$1 ,$1 ,$2 ,$0 ,$1 ,$0 ,$1 
Gaza Strip,Exports,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$1 
Svalbard and Jan Mayen Island,Exports,Millions of USD,0--All Merchandise,$3 ,$0 ,$0 ,$2 ,$4 ,$4 ,$1 ,$2 ,$1 ,$1 ,$0 
Tokelau Islands,Exports,Millions of USD,0--All Merchandise,$1 ,$0 ,$2 ,$1 ,$19 ,$1 ,$0 ,$0 ,$6 ,$0 ,$0 
Norfolk Island,Exports,Millions of USD,0--All Merchandise,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$12 ,$5 ,$0 ,$0 ,$0 
Heard Island and Mcdonald Islands,Exports,Millions of USD,0--All Merchandise,$1 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Saint Pierre and Miquelon,Exports,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Wallis and Futuna,Exports,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 
Western Sahara,Exports,Millions of USD,0--All Merchandise,$0 ,$0 ,$0 ,$0 ,$0 ,$21 ,$7 ,,,,
Transshipments,Exports,Millions of USD,0--All Merchandise,$0 ,,$2 ,,,,,,,,
